class,label,path
sheep,22,JPEGImages/sheep/sheep_11021.jpg
rabbit,28,JPEGImages/rabbit/rabbit_10424.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10424.jpg
skunk,10,JPEGImages/skunk/skunk_10124.jpg
leopard,14,JPEGImages/leopard/leopard_10592.jpg
squirrel,26,JPEGImages/squirrel/squirrel_11045.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10458.jpg
horse,6,JPEGImages/horse/horse_10393.jpg
spider monkey,16,JPEGImages/spider+monkey/spider+monkey_10169.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10229.jpg
tiger,12,JPEGImages/tiger/tiger_10156.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10380.jpg
ox,20,JPEGImages/ox/ox_10690.jpg
rhinoceros,27,JPEGImages/rhinoceros/rhinoceros_10654.jpg
seal,23,JPEGImages/seal/seal_10614.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10190.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10747.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10653.jpg
sheep,22,JPEGImages/sheep/sheep_11169.jpg
horse,6,JPEGImages/horse/horse_11455.jpg
pig,41,JPEGImages/pig/pig_10265.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10290.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10075.jpg
rabbit,28,JPEGImages/rabbit/rabbit_11000.jpg
wolf,31,JPEGImages/wolf/wolf_10173.jpg
lion,42,JPEGImages/lion/lion_10694.jpg
cow,48,JPEGImages/cow/cow_10170.jpg
collie,45,JPEGImages/collie/collie_10903.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10645.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10330.jpg
cow,48,JPEGImages/cow/cow_11181.jpg
seal,23,JPEGImages/seal/seal_10578.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10701.jpg
hamster,25,JPEGImages/hamster/hamster_10372.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10321.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10293.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10076.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10014.jpg
zebra,37,JPEGImages/zebra/zebra_11143.jpg
pig,41,JPEGImages/pig/pig_10418.jpg
fox,21,JPEGImages/fox/fox_10503.jpg
deer,39,JPEGImages/deer/deer_10215.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10043.jpg
walrus,46,JPEGImages/walrus/walrus_10153.jpg
chihuahua,32,JPEGImages/chihuahua/chihuahua_10060.jpg
tiger,12,JPEGImages/tiger/tiger_10207.jpg
cow,48,JPEGImages/cow/cow_10106.jpg
horse,6,JPEGImages/horse/horse_11525.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10648.jpg
killer whale,2,JPEGImages/killer+whale/killer+whale_10254.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10759.jpg
moose,15,JPEGImages/moose/moose_10083.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10781.jpg
zebra,37,JPEGImages/zebra/zebra_10465.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10365.jpg
beaver,3,JPEGImages/beaver/beaver_10189.jpg
bobcat,40,JPEGImages/bobcat/bobcat_10113.jpg
collie,45,JPEGImages/collie/collie_10242.jpg
chimpanzee,24,JPEGImages/chimpanzee/chimpanzee_10095.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10224.jpg
zebra,37,JPEGImages/zebra/zebra_10084.jpg
antelope,0,JPEGImages/antelope/antelope_10691.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10744.jpg
rabbit,28,JPEGImages/rabbit/rabbit_11051.jpg
elephant,18,JPEGImages/elephant/elephant_10479.jpg
fox,21,JPEGImages/fox/fox_10123.jpg
dalmatian,4,JPEGImages/dalmatian/dalmatian_10445.jpg
raccoon,47,JPEGImages/raccoon/raccoon_10457.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10928.jpg
hamster,25,JPEGImages/hamster/hamster_10396.jpg
skunk,10,JPEGImages/skunk/skunk_10085.jpg
moose,15,JPEGImages/moose/moose_10106.jpg
deer,39,JPEGImages/deer/deer_10770.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10212.jpg
antelope,0,JPEGImages/antelope/antelope_10590.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10257.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10368.jpg
bat,29,JPEGImages/bat/bat_10016.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10578.jpg
grizzly bear,1,JPEGImages/grizzly+bear/grizzly+bear_10677.jpg
deer,39,JPEGImages/deer/deer_10323.jpg
cow,48,JPEGImages/cow/cow_11147.jpg
cow,48,JPEGImages/cow/cow_10426.jpg
tiger,12,JPEGImages/tiger/tiger_10236.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10086.jpg
buffalo,36,JPEGImages/buffalo/buffalo_10731.jpg
moose,15,JPEGImages/moose/moose_10545.jpg
beaver,3,JPEGImages/beaver/beaver_10151.jpg
leopard,14,JPEGImages/leopard/leopard_10125.jpg
giraffe,30,JPEGImages/giraffe/giraffe_11194.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10764.jpg
leopard,14,JPEGImages/leopard/leopard_10711.jpg
persian cat,5,JPEGImages/persian+cat/persian+cat_10676.jpg
deer,39,JPEGImages/deer/deer_10109.jpg
zebra,37,JPEGImages/zebra/zebra_10701.jpg
dolphin,49,JPEGImages/dolphin/dolphin_10545.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10040.jpg
cow,48,JPEGImages/cow/cow_10578.jpg
horse,6,JPEGImages/horse/horse_11556.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10136.jpg
cow,48,JPEGImages/cow/cow_11323.jpg
killer whale,2,JPEGImages/killer+whale/killer+whale_10287.jpg
giraffe,30,JPEGImages/giraffe/giraffe_10547.jpg
german shepherd,7,JPEGImages/german+shepherd/german+shepherd_10438.jpg
gorilla,19,JPEGImages/gorilla/gorilla_10245.jpg
spider monkey,16,JPEGImages/spider+monkey/spider+monkey_10175.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10184.jpg
hamster,25,JPEGImages/hamster/hamster_10275.jpg
moose,15,JPEGImages/moose/moose_10225.jpg
squirrel,26,JPEGImages/squirrel/squirrel_10720.jpg
polar bear,44,JPEGImages/polar+bear/polar+bear_10058.jpg
sheep,22,JPEGImages/sheep/sheep_10645.jpg
