class,label
"chambered nautilus, pearly nautilus, nautilus",0
"harvestman, daddy longlegs, Phalangium opilio",1
macaw,2
bittern,3
"electric ray, crampfish, numbfish, torpedo",4
"submarine, pigboat, sub, U-boat'",5
agama,6
"night snake, Hypsiglena torquata",7
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8
"tiger shark, Galeocerdo cuvieri",9
flamingo,10
"garter snake, grass snake",11
"common newt, Triturus vulgaris",12
"tench, Tinca tinca",13
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",14
"white stork, Ciconia ciconia",15
terrapin,16
"diamondback, diamondback rattlesnake, Crotalus adamanteus",17
"flatworm, platyhelminth",18
sea snake,19
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20
"green snake, grass snake",21
"bald eagle, American eagle, Haliaeetus leucocephalus",22
kite,23
"goldfish, Carassius auratus",24
scorpion,25
goose,26
bulbul,27
chickadee,28
"sea anemone, anemone",29
magpie,30
mud turtle,31
centipede,32
lorikeet,33
"garden spider, Aranea diademata",34
spoonbill,35
hermit crab,36
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",37
green mamba,38
bee eater,39
bustard,40
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",41
"hognose snake, puff adder, sand viper",42
"common iguana, iguana, Iguana iguana",43
"king snake, kingsnake",44
toucan,45
peacock,46
"barn spider, Araneus cavaticus",47
"wolf spider, hunting spider",48
"thunder snake, worm snake, Carphophis amoenus",49
"water ouzel, dipper",50
"Dungeness crab, Cancer magister",51
"nematode, nematode worm, roundworm",52
vine snake,53
wombat,54
"black widow, Latrodectus mactans",55
"oystercatcher, oyster catcher",56
black grouse,57
"red-backed sandpiper, dunlin, Erolia alpina",58
"goldfinch, Carduelis carduelis",59
snail,60
"hammerhead, hammerhead shark",61
"spotted salamander, Ambystoma maculatum",62
"American alligator, Alligator mississipiensis",63
banded gecko,64
"wallaby, brush kangaroo",65
"great grey owl, great gray owl, Strix nebulosa",66
jellyfish,67
"black swan, Cygnus atratus",68
ptarmigan,69
hummingbird,70
"whiptail, whiptail lizard",71
"sidewinder, horned rattlesnake, Crotalus cerastes",72
hen,73
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",74
"albatross, mollymawk",75
"axolotl, mud puppy, Ambystoma mexicanum",76
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",77
"American coot, marsh hen, mud hen, water hen, Fulica americana",78
"loggerhead, loggerhead turtle, Caretta caretta",79
"redshank, Tringa totanus",80
crane,81
tick,82
sea lion,83
tarantula,84
"boa constrictor, Constrictor constrictor",85
conch,86
"prairie chicken, prairie grouse, prairie fowl",87
pelican,88
coucal,89
"limpkin, Aramus pictus",90
"chiton, coat-of-mail shell, sea cradle, polyplacophore",91
"black and gold garden spider, Argiope aurantia",92
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",93
stingray,94
"rock crab, Cancer irroratus",95
"green lizard, Lacerta viridis",96
"sea slug, nudibranch",97
hornbill,98
Kerry blue terrier,99
