class,label,concept
"chambered nautilus, pearly nautilus, nautilus",0,a medium-sized body
"chambered nautilus, pearly nautilus, nautilus",0,a animal
"chambered nautilus, pearly nautilus, nautilus",0,a fleshy mantle
"chambered nautilus, pearly nautilus, nautilus",0,a small opening at one end
"chambered nautilus, pearly nautilus, nautilus",0,invertebrate
"chambered nautilus, pearly nautilus, nautilus",0,a soft body
"chambered nautilus, pearly nautilus, nautilus",0,seaweed
"chambered nautilus, pearly nautilus, nautilus",0,a shell
"chambered nautilus, pearly nautilus, nautilus",0,tentacles
"chambered nautilus, pearly nautilus, nautilus",0,mollusk
"chambered nautilus, pearly nautilus, nautilus",0,"a small, spiral shell"
"chambered nautilus, pearly nautilus, nautilus",0,fish
"chambered nautilus, pearly nautilus, nautilus",0,the ocean
"harvestman, daddy longlegs, Phalangium opilio",1,twigs
"harvestman, daddy longlegs, Phalangium opilio",1,arachnid
"harvestman, daddy longlegs, Phalangium opilio",1,"a long, thin legs"
"harvestman, daddy longlegs, Phalangium opilio",1,soil
"harvestman, daddy longlegs, Phalangium opilio",1,a prey animal
"harvestman, daddy longlegs, Phalangium opilio",1,a stone
"harvestman, daddy longlegs, Phalangium opilio",1,invertebrate
"harvestman, daddy longlegs, Phalangium opilio",1,leaves
"harvestman, daddy longlegs, Phalangium opilio",1,a tree
"harvestman, daddy longlegs, Phalangium opilio",1,no visible eyes or antennae
"harvestman, daddy longlegs, Phalangium opilio",1,no antennae
"harvestman, daddy longlegs, Phalangium opilio",1,a segmented abdomen
"harvestman, daddy longlegs, Phalangium opilio",1,a grass
"harvestman, daddy longlegs, Phalangium opilio",1,animal
"harvestman, daddy longlegs, Phalangium opilio",1,a small mouth
"harvestman, daddy longlegs, Phalangium opilio",1,a bush
"harvestman, daddy longlegs, Phalangium opilio",1,"a small, round body"
macaw,2,a branch
macaw,2,a animal
macaw,2,vertebrate
macaw,2,"a high, shrill call"
macaw,2,a tree
macaw,2,a long tail
macaw,2,a perch
macaw,2,a person
macaw,2,"a large, colorful bird"
macaw,2,a birdbath
macaw,2,a jungle
macaw,2,a bird feeder
macaw,2,"a long, thin beak"
macaw,2,a tail with long feathers
macaw,2,a cage
macaw,2,a wingspan of 3-4 feet
macaw,2,strong legs and feet
macaw,2,large wings
bittern,3,a mouse
bittern,3,cattails
bittern,3,"a long, thin neck"
bittern,3,vertebrate
bittern,3,a animal
bittern,3,black legs
bittern,3,"a long, thick neck"
bittern,3,"a small, round shape"
bittern,3,flying vertebrate
bittern,3,reeds
bittern,3,a camera
bittern,3,a fish
bittern,3,"long, orange legs"
bittern,3,brown and white feathers
bittern,3,a birdwatcher
bittern,3,a reedy call
bittern,3,"a short, black bill"
bittern,3,a swamp
"electric ray, crampfish, numbfish, torpedo",4,a net
"electric ray, crampfish, numbfish, torpedo",4,paddle-like fins
"electric ray, crampfish, numbfish, torpedo",4,"a large, rounded shape"
"electric ray, crampfish, numbfish, torpedo",4,a light
"electric ray, crampfish, numbfish, torpedo",4,"a flat, circular shape"
"electric ray, crampfish, numbfish, torpedo",4,a black or dark color
"electric ray, crampfish, numbfish, torpedo",4,fish
"electric ray, crampfish, numbfish, torpedo",4,"a long, thick tail"
"electric ray, crampfish, numbfish, torpedo",4,Mammal
"electric ray, crampfish, numbfish, torpedo",4,animal
"electric ray, crampfish, numbfish, torpedo",4,a aquarium
"electric ray, crampfish, numbfish, torpedo",4,a fish
"electric ray, crampfish, numbfish, torpedo",4,a reel
"electric ray, crampfish, numbfish, torpedo",4,a rod
"electric ray, crampfish, numbfish, torpedo",4,an aquarium
"electric ray, crampfish, numbfish, torpedo",4,bait
"electric ray, crampfish, numbfish, torpedo",4,a heater
"electric ray, crampfish, numbfish, torpedo",4,a water
"electric ray, crampfish, numbfish, torpedo",4,a filter
"electric ray, crampfish, numbfish, torpedo",4,vertebrate
"electric ray, crampfish, numbfish, torpedo",4,a large mouth
"electric ray, crampfish, numbfish, torpedo",4,"a large, bulky body"
"electric ray, crampfish, numbfish, torpedo",4,a pump
"submarine, pigboat, sub, U-boat'",5,a crew
"submarine, pigboat, sub, U-boat'",5,a sea
"submarine, pigboat, sub, U-boat'",5,watercraft
"submarine, pigboat, sub, U-boat'",5,a machine
"submarine, pigboat, sub, U-boat'",5,a conning tower
"submarine, pigboat, sub, U-boat'",5,a flag
"submarine, pigboat, sub, U-boat'",5,a captain
"submarine, pigboat, sub, U-boat'",5,"a large, cigar-shaped body"
"submarine, pigboat, sub, U-boat'",5,propellers
"submarine, pigboat, sub, U-boat'",5,a sonar
"submarine, pigboat, sub, U-boat'",5,vessel
"submarine, pigboat, sub, U-boat'",5,a torpedo
"submarine, pigboat, sub, U-boat'",5,a water
"submarine, pigboat, sub, U-boat'",5,periscopes
"submarine, pigboat, sub, U-boat'",5,"a large, rounded shape"
"submarine, pigboat, sub, U-boat'",5,a gray or blue color
"submarine, pigboat, sub, U-boat'",5,a periscope
agama,6,"a long, thick tail"
agama,6,a wedge-shaped head
agama,6,a animal
agama,6,vertebrate
agama,6,rocks
agama,6,sand
agama,6,scales
agama,6,"a long, forked tongue"
agama,6,insects
agama,6,claws on its legs
agama,6,a pointed tongue
agama,6,a lizard
agama,6,"a long, slender shape"
agama,6,reptile
agama,6,cactus
agama,6,a protruding crest on the head
agama,6,a desert
agama,6,four legs
"night snake, Hypsiglena torquata",7,a warm place to hide
"night snake, Hypsiglena torquata",7,frogs
"night snake, Hypsiglena torquata",7,a animal
"night snake, Hypsiglena torquata",7,"smooth, shiny scales"
"night snake, Hypsiglena torquata",7,darkness
"night snake, Hypsiglena torquata",7,"a long, forked tongue"
"night snake, Hypsiglena torquata",7,insects
"night snake, Hypsiglena torquata",7,a lizard
"night snake, Hypsiglena torquata",7,vertical pupils
"night snake, Hypsiglena torquata",7,a toad
"night snake, Hypsiglena torquata",7,reptile
"night snake, Hypsiglena torquata",7,a small mammal
"night snake, Hypsiglena torquata",7,smooth scales
"night snake, Hypsiglena torquata",7,a rodent
"night snake, Hypsiglena torquata",7,a mouse
"night snake, Hypsiglena torquata",7,vertebrate
"night snake, Hypsiglena torquata",7,the night
"night snake, Hypsiglena torquata",7,a dull color
"night snake, Hypsiglena torquata",7,"a short, stout body"
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,trees
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,pointed wings
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,white wingbars
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a tree
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a blue body
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a field
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a black head
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,"a short, black bill"
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a small songbird
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a worm
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a white chest
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a white throat
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,egg
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,leaves
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,animal
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a woods
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a vibrant blue color
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a nest
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,vertebrate
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a leaf
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,invertebrate
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a birdbath
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a bird feeder
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a branch
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",8,a seed
"tiger shark, Galeocerdo cuvieri",9,"large, sharp teeth"
"tiger shark, Galeocerdo cuvieri",9,dark stripes on the sides
"tiger shark, Galeocerdo cuvieri",9,vertebrate
"tiger shark, Galeocerdo cuvieri",9,powerful swimming ability
"tiger shark, Galeocerdo cuvieri",9,"a long, tapered tail"
"tiger shark, Galeocerdo cuvieri",9,a shark fin
"tiger shark, Galeocerdo cuvieri",9,a surfboard
"tiger shark, Galeocerdo cuvieri",9,"a long, torpedo-shaped body"
"tiger shark, Galeocerdo cuvieri",9,a shark cage
"tiger shark, Galeocerdo cuvieri",9,animal
"tiger shark, Galeocerdo cuvieri",9,a lifeguard
"tiger shark, Galeocerdo cuvieri",9,a fish
"tiger shark, Galeocerdo cuvieri",9,"a long, thin snout"
"tiger shark, Galeocerdo cuvieri",9,a white underbelly
"tiger shark, Galeocerdo cuvieri",9,a swimmer
"tiger shark, Galeocerdo cuvieri",9,a gray or blue color
"tiger shark, Galeocerdo cuvieri",9,a water
flamingo,10,black legs
flamingo,10,a pool
flamingo,10,a animal
flamingo,10,"a tall, pink bird"
flamingo,10,a warm climate
flamingo,10,a lawn
flamingo,10,a webbed foot
flamingo,10,a garden
flamingo,10,"a long, curved bill"
flamingo,10,a long neck
flamingo,10,pink or reddish feathers
flamingo,10,a short beak
flamingo,10,plants
flamingo,10,"long, arms and legs"
flamingo,10,vertebrate
flamingo,10,a person
flamingo,10,a pond
flamingo,10,a bird feeder
flamingo,10,"a long, curved neck"
flamingo,10,a bird bath
"garter snake, grass snake",11,a animal
"garter snake, grass snake",11,vertebrate
"garter snake, grass snake",11,a stone
"garter snake, grass snake",11,a leaf
"garter snake, grass snake",11,"a small, round shape"
"garter snake, grass snake",11,a stick
"garter snake, grass snake",11,"a long, forked tongue"
"garter snake, grass snake",11,a garden
"garter snake, grass snake",11,a small head
"garter snake, grass snake",11,a pair of trousers
"garter snake, grass snake",11,a necktie
"garter snake, grass snake",11,a belt at the waist
"garter snake, grass snake",11,a hole
"garter snake, grass snake",11,reptile
"garter snake, grass snake",11,a garter
"garter snake, grass snake",11,smooth scales
"common newt, Triturus vulgaris",12,"a long, thick tail"
"common newt, Triturus vulgaris",12,a leaf
"common newt, Triturus vulgaris",12,a net
"common newt, Triturus vulgaris",12,amphibian
"common newt, Triturus vulgaris",12,a lizard-like body
"common newt, Triturus vulgaris",12,a plant
"common newt, Triturus vulgaris",12,a pointed face
"common newt, Triturus vulgaris",12,salamander
"common newt, Triturus vulgaris",12,animal
"common newt, Triturus vulgaris",12,a pond
"common newt, Triturus vulgaris",12,short legs
